Index	CID_stereo	InChIKey	SMILES
1	119	BTCSSZJGUNDROE-UHFFFAOYSA-N	C(CC(=O)O)CN
2	137	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	C(CC(=O)O)C(=O)CN
3	143	VVIAGPKUTFNRDU-UHFFFAOYSA-N	C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
4	175	QTBSBXVTEAMEQO-UHFFFAOYSA-M	CC(=O)[O-]
5	187	OIPILFWXSMYKGL-UHFFFAOYSA-N	CC(=O)OCC[N+](C)(C)C
6	206	WQZGKKKJIJFFOK-UHFFFAOYSA-N	C(C1C(C(C(C(O1)O)O)O)O)O
7	222	QGZKDVFQNNGYKY-UHFFFAOYSA-N	N
8	244	WVDDGKGOMKODPV-UHFFFAOYSA-N	C1=CC=C(C=C1)CO
9	247	KWIUHFFTVRNATP-UHFFFAOYSA-N	C[N+](C)(C)CC(=O)[O-]
10	271	BHPQYMZQTOCNFJ-UHFFFAOYSA-N	[Ca+2]
11	297	VNWKTOKETHGBQD-UHFFFAOYSA-N	C
12	311	KRKNYBCHXYNGOX-UHFFFAOYSA-N	C(C(=O)O)C(CC(=O)O)(C(=O)O)O
13	312	VEXZGXHMUGYJMC-UHFFFAOYSA-M	[Cl-]
14	338	YGSDEFSMJLZEOE-UHFFFAOYSA-N	C1=CC=C(C(=C1)C(=O)O)O
15	444	SNPPWIUOZRMYNY-UHFFFAOYSA-N	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
16	564	SLXKOJJOQWFEFD-UHFFFAOYSA-N	C(CCC(=O)O)CCN
17	598	ZNEWHQLOPFWXOF-UHFFFAOYSA-N	C(CS(=O)(=O)O)S
18	612	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	CC(C(=O)O)O
19	679	IAZDPXIOMUYVGZ-UHFFFAOYSA-N	CS(=O)C
20	681	VYFYYTLLBUKUHU-UHFFFAOYSA-N	C1=CC(=C(C=C1CCN)O)O
21	700	HZAXFHJVJLSVMW-UHFFFAOYSA-N	C(CO)N
22	727	JLYXXMFPNIAWKQ-UHFFFAOYSA-N	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
23	750	DHMQDGOQFOQNFH-UHFFFAOYSA-N	C(C(=O)O)N
24	753	PEDCQBHIVMGVHV-UHFFFAOYSA-N	C(C(CO)O)O
25	767	BVKZGUZCCUSVTD-UHFFFAOYSA-N	C(=O)(O)O
26	772	HTTJABKRGRZYRN-UHFFFAOYSA-N	CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
27	774	NTYJJOPFIAHURM-UHFFFAOYSA-N	C1=C(NC=N1)CCN
28	785	QIGBRXMKCJKVMJ-UHFFFAOYSA-N	C1=CC(=CC=C1O)O
29	813	NPYPAHLBTDXSSS-UHFFFAOYSA-N	[K+]
30	888	JLVVSXFLKOJNIY-UHFFFAOYSA-N	[Mg+2]
31	896	DRLFMBDRBRZALE-UHFFFAOYSA-N	CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
32	923	FKNQFGJONOIPTF-UHFFFAOYSA-N	[Na+]
33	937	PVNIIMVLHYAWGP-UHFFFAOYSA-M	C1=CC(=CN=C1)C(=O)[O-]
34	942	SNICXCGAKADSCV-UHFFFAOYSA-N	CN1CCCC1C2=CN=CC=C2
35	946	IOVCWXUNBOPUCH-UHFFFAOYSA-M	N(=O)[O-]
36	948	GQPLMRYTRLFLPF-UHFFFAOYSA-N	N#[N+][O-]
37	961	XLYOFNOQVPJJNP-UHFFFAOYSA-M	[OH-]
38	1003	NBIIXXVUZAFLBC-UHFFFAOYSA-M	OP(=O)(O)[O-]
39	1046	IPEHBUMCGVEMRF-UHFFFAOYSA-N	C1=CN=C(C=N1)C(=O)N
40	1054	LXNHXLLTXMVWPM-UHFFFAOYSA-N	CC1=NC=C(C(=C1O)CO)CO
41	1084	DHCDFWKWKRSZHF-UHFFFAOYSA-L	[O-]S(=O)(=S)[O-]
42	1125	FNKQXYHWGSIFBK-UHFFFAOYSA-N	CC(C(C1CNC2=C(N1)C(=O)N=C(N2)N)O)O
43	1130	JZRWCGZRTZMZEH-UHFFFAOYSA-N	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
44	1727	NUKYPUAOHBNCPY-UHFFFAOYSA-N	C1=CN=CC=C1N
45	1775	CXOFVDLJLONNDW-UHFFFAOYSA-N	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
46	1978	GOEMGAFJFRBGGG-UHFFFAOYSA-N	CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
47	1983	RZVAJINKPMORJF-UHFFFAOYSA-N	CC(=O)NC1=CC=C(C=C1)O
48	1986	BZKPWHYZMXOIDC-UHFFFAOYSA-N	CC(=O)NC1=NN=C(S1)S(=O)(=O)N
49	1990	RRUDCFGSUDOHDG-UHFFFAOYSA-N	CC(=O)NO
50	1993	NZWOPGCLSHLLPA-UHFFFAOYSA-N	CC(C[N+](C)(C)C)OC(=O)C
51	2019	RJURFGZVJUQBHK-UHFFFAOYSA-N	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
52	2022	MKUXAQIIEYXACX-UHFFFAOYSA-N	C1=NC2=C(N1COCCO)NC(=NC2=O)N
53	2082	HXHWSAZORRCQMX-UHFFFAOYSA-N	CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
54	2083	NDAUXUAQIAJITI-UHFFFAOYSA-N	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
55	2088	OGSPWJRAVKPPFI-UHFFFAOYSA-N	C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
56	2092	WNMJYKCGWZFFKR-UHFFFAOYSA-N	CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
57	2094	OFCNXPDARWKPPY-UHFFFAOYSA-N	C1=C2C(=NC=NC2=O)NN1
58	2099	JSWZEAMFRNKZNL-UHFFFAOYSA-N	CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
59	2118	VREFGVBLTWBCJP-UHFFFAOYSA-N	CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
60	2123	UUVWYPNAQBNQJQ-UHFFFAOYSA-N	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
61	2130	DKNWSYNQZKUICI-UHFFFAOYSA-N	C1C2CC3CC1CC(C2)(C3)N
62	2140	YVPYQUNUQOZFHG-UHFFFAOYSA-N	CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
63	2141	JKOQGQFVAUAYPM-UHFFFAOYSA-N	C(CN)CNCCSP(=O)(O)O
64	2145	ROBVIMPUHSLWNV-UHFFFAOYSA-N	CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
65	2148	HSMNQINEKMPTIC-UHFFFAOYSA-N	C1=CC(=CC=C1C(=O)NCC(=O)O)N
66	2153	ZFXYFBGIUFBOJW-UHFFFAOYSA-N	CN1C2=C(C(=O)N(C1=O)C)NC=N2
67	2156	IYIKLHRQXLHMJQ-UHFFFAOYSA-O	CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I
68	2159	NTJOBXMMWNYJFB-UHFFFAOYSA-N	CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
69	2160	KRMDCWKBEZIMAB-UHFFFAOYSA-N	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
70	2161	SGRYPYWGNKJSDL-UHFFFAOYSA-N	CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
71	2162	HTIQEAQVCYTUBX-UHFFFAOYSA-N	CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
72	2163	VIROVYVQCGLCII-UHFFFAOYSA-M	CCC1(C(=O)NC(=NC1=O)[O-])CCC(C)C
73	2170	QWGDMFLQWFTERH-UHFFFAOYSA-N	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
74	2179	XCPGHVQEEXUHNC-UHFFFAOYSA-N	COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
75	2182	OTBXOEAOVRKTNQ-UHFFFAOYSA-N	C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31
76	2187	YBBLVLTVTVSKRW-UHFFFAOYSA-N	CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
77	2216	IEJXVRYNEISIKR-UHFFFAOYSA-N	C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
78	2244	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	CC(=O)OC1=CC=CC=C1C(=O)O
79	2249	METKIMKYRPQLGS-UHFFFAOYSA-N	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
80	2265	LMEKQMALGUDUQG-UHFFFAOYSA-N	CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
81	2266	BDJRBEYXGGNYIS-UHFFFAOYSA-N	C(CCCC(=O)O)CCCC(=O)O
82	2267	MBUVEWMHONZEQD-UHFFFAOYSA-N	CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
83	2284	KPYSYYIEGFHWSV-UHFFFAOYSA-N	C1=CC(=CC=C1C(CC(=O)O)CN)Cl
84	2315	HDWIHXWEUNVBIY-UHFFFAOYSA-N	C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
85	2337	BLFLLBZGZJTVJG-UHFFFAOYSA-N	CCOC(=O)C1=CC=C(C=C1)N
86	2341	YXKTVDFXDRQTKV-UHFFFAOYSA-N	CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2
87	2345	SESFRYSPDFLNCH-UHFFFAOYSA-N	C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
88	2349	JGSARLDLIJGVTE-UHFFFAOYSA-N	CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
89	2351	UIEATEWHFDRYRU-UHFFFAOYSA-N	CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
90	2366	UUQMNUMQCIQDMZ-UHFFFAOYSA-N	CNCCC1=CC=CC=N1
91	2369	NWIUTZDMDHAVTP-UHFFFAOYSA-N	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
92	2370	NZUPCNDJBJXXRF-UHFFFAOYSA-O	CC(C[N+](C)(C)C)OC(=O)N
93	2375	LKJPYSCBVHEWIU-UHFFFAOYSA-N	CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
94	2391	KHOITXIGCFIULA-UHFFFAOYSA-N	CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
95	2405	VHYCDWMUTMEGQY-UHFFFAOYSA-N	CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
96	2431	AAQOQKQBGPPFNS-UHFFFAOYSA-N	CC[N+](C)(C)CC1=CC=CC=C1Br
97	2435	XYLJNLCSTIOKRM-UHFFFAOYSA-N	C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
98	2441	VMIYHDSEFNYJSL-UHFFFAOYSA-N	C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
99	2442	OJGDCBLYJGHCIH-UHFFFAOYSA-N	CN(CC1=CC(=CC(=C1N)Br)Br)C2CCCCC2
100	2462	VOVIALXJUBGFJZ-UHFFFAOYSA-N	CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
101	2471	MAEIEVLCKWDQJH-UHFFFAOYSA-N	CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
102	2474	LEBVLXFERQHONN-UHFFFAOYSA-N	CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
103	2477	QWCRAEMEVRGPNT-UHFFFAOYSA-N	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
104	2478	COVZYZSDYWQREU-UHFFFAOYSA-N	CS(=O)(=O)OCCCCOS(=O)(=O)C
105	2479	ZRIHAIZYIMGOAB-UHFFFAOYSA-N	CCC(C)C1(C(=O)NC(=O)NC1=O)CC
106	2484	ABJKWBDEJIDSJZ-UHFFFAOYSA-N	CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
107	2519	RYYVLZVUVIJVGH-UHFFFAOYSA-N	CN1C=NC2=C1C(=O)N(C(=O)N2C)C
